,domain,reachedDomain,start,end,hasErrors,error,originalFile,cmp,cmps,pagerank,rank_group,wronglyTagged,status,statusSimplified,cmp_simplified,cmp_simplified_othered,cmp_simplified_othered_more,tld,tld_othered
6226,notifsendback.com,yahoo.com,2022-11-27 22:55:48.875000+00:00,2022-11-27 23:00:42.634000+00:00,False,Successful,results.json_00006300-00006309.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",43614,"(40000, 50000]",False,successful,successful,yahoo,other,other,com,com
6229,logmeinrescue.eu,logmeinrescue.com,2022-11-27 22:53:11.307000+00:00,2022-11-27 23:01:33.013000+00:00,False,Successful,results.json_00006300-00006309.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider']",43595,"(40000, 50000]",False,successful,successful,trustarc,other,trustarc,eu,other
6243,mindjet.com,mindmanager.com,2022-11-27 23:03:30.773000+00:00,2022-11-27 23:11:49.527000+00:00,False,Successful,results.json_00006320-00006329.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",43721,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6251,cstv.com,cbssports.com,2022-11-27 23:13:07.291000+00:00,2022-11-27 23:19:33.866000+00:00,False,Successful,results.json_00006320-00006329.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",43810,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6258,workingmother.com,seramount.com,2022-11-27 23:17:26.600000+00:00,2022-11-27 23:23:40.584000+00:00,False,Successful,results.json_00006330-00006339.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",43881,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6263,twiter.com,twitter.com,2022-11-27 23:19:53.030000+00:00,2022-11-27 23:27:15.072000+00:00,False,Successful,results.json_00006340-00006349.json,Twitter,['Twitter'],43933,"(40000, 50000]",False,successful,successful,Twitter,other,other,com,com
6281,ptservidor.net,ptservidor.pt,2022-11-27 23:32:14.586000+00:00,2022-11-27 23:38:12.452000+00:00,False,Successful,results.json_00006350-00006359.json,cookiebar,['cookiebar'],44081,"(40000, 50000]",False,successful,successful,cookiebar,cookiebar,cookiebar,net,net
6306,workspaceair.com,vmware.com,2022-11-28 00:05:21.888000+00:00,2022-11-28 00:12:09.139000+00:00,False,Successful,results.json_00006380-00006389.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",44292,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6319,cordial.io,cordial.com,2022-11-28 00:31:00.687000+00:00,2022-11-28 00:41:59.360000+00:00,False,Successful,results.json_00006390-00006399.json,onetrust_pcpanel,['onetrust_pcpanel'],44356,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,io,io
6330,pertino.com,cradlepoint.com,2022-11-28 00:56:27.828000+00:00,2022-11-28 01:07:18.090000+00:00,False,Successful,results.json_00006400-00006409.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",44398,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6339,rmi.fr,adista.fr,2022-11-28 00:56:27.833000+00:00,2022-11-28 01:12:03.722000+00:00,False,Successful,results.json_00006410-00006419.json,cookiebar,['cookiebar'],44470,"(40000, 50000]",False,successful,successful,cookiebar,cookiebar,cookiebar,fr,fr
6360,playdemic.com,ea.com,2022-11-28 01:14:06.573000+00:00,2022-11-28 01:22:56.339000+00:00,False,Successful,results.json_00006430-00006439.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",44624,"(40000, 50000]",False,successful,successful,trustarc,other,trustarc,com,com
6362,newlightsystems.com,teradisk.com,2022-11-28 01:16:09.851000+00:00,2022-11-28 01:23:46.247000+00:00,False,Successful,results.json_00006430-00006439.json,cookiebar,['cookiebar'],44645,"(40000, 50000]",False,successful,successful,cookiebar,cookiebar,cookiebar,com,com
6380,rai.tv,raiplay.it,2022-11-28 01:24:44.337000+00:00,2022-11-28 01:35:10.213000+00:00,False,Successful,results.json_00006450-00006459.json,oil,['oil'],44715,"(40000, 50000]",False,successful,successful,oil,other,other,tv,other
6382,algonet.se,telenor.se,2022-11-28 01:29:05.724000+00:00,2022-11-28 01:37:04.916000+00:00,False,Successful,results.json_00006450-00006459.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",44782,"(40000, 50000]",True,successful,successful,onetrust,onetrust,onetrust,se,other
6383,lessonly.com,seismic.com,2022-11-28 01:27:29.636000+00:00,2022-11-28 01:37:06.959000+00:00,False,Successful,results.json_00006460-00006469.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",44765,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6406,prusaprinters.org,printables.com,2022-11-28 01:47:07.960000+00:00,2022-11-28 01:54:55.028000+00:00,False,Successful,results.json_00006480-00006489.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",45015,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,org,org
6409,biontech.de,biontech.com,2022-11-28 01:49:20.854000+00:00,2022-11-28 01:57:56.036000+00:00,False,Successful,results.json_00006480-00006489.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",45051,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,de,de
6412,telekom-dienste.de,telekom.de,2022-11-28 01:51:45.570000+00:00,2022-11-28 01:59:52.870000+00:00,False,Successful,results.json_00006480-00006489.json,tealium.com,['tealium.com'],45069,"(40000, 50000]",False,successful,successful,tealium.com,other,tealium.com,de,de
6429,rhcloud.com,redhat.com,2022-11-28 01:48:03.386000+00:00,2022-11-28 02:15:15.581000+00:00,False,Successful,results.json_00006500-00006509.json,trustarcframe,"['trustarcframe', 'trustarc_popup_hider']",45009,"(40000, 50000]",False,successful,successful,trustarc,other,trustarc,com,com
6431,computerworld.com.au,computerworld.com,2022-11-28 02:08:06.836000+00:00,2022-11-28 02:20:06.210000+00:00,False,Successful,results.json_00006500-00006509.json,sourcepointpopup,['sourcepointpopup'],45162,"(40000, 50000]",False,successful,successful,sourcepoint,sourcepoint,sourcepoint,au,other
6438,teennick.com,nick.de,2022-11-28 02:12:14.810000+00:00,2022-11-28 02:26:21.635000+00:00,False,Successful,results.json_00006510-00006519.json,onetrust_pcpanel,['onetrust_pcpanel'],45204,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6440,strykercorp.com,stryker.com,2022-11-28 02:15:15.588000+00:00,2022-11-28 02:29:27.796000+00:00,False,Successful,results.json_00006510-00006519.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",45248,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6444,s81c.com,ibm.com,2022-11-28 02:13:46.751000+00:00,2022-11-28 02:30:56.174000+00:00,False,Successful,results.json_00006520-00006529.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",45230,"(40000, 50000]",False,successful,successful,trustarc,other,trustarc,com,com
6454,bndestem.nl,dpgmedia.nl,2022-11-28 02:35:28.016000+00:00,2022-11-28 02:42:40.705000+00:00,False,Successful,results.json_00006530-00006539.json,sourcepointpopup,"['sourcepointpopup', 'sourcepoint_frame_2022']",45493,"(40000, 50000]",False,successful,successful,sourcepoint,sourcepoint,sourcepoint,nl,nl
6467,ppdi.com,ppd.com,2022-11-28 02:39:43.070000+00:00,2022-11-28 03:02:52.876000+00:00,False,Successful,results.json_00006540-00006549.json,onetrust_pcpanel,['onetrust_pcpanel'],45511,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6471,voiscooters.com,voi.com,2022-11-28 02:55:24.970000+00:00,2022-11-28 03:07:18.573000+00:00,False,Successful,results.json_00006540-00006549.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",45625,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6490,pwlan.ch,swisscom.ch,2022-11-28 03:44:59.738000+00:00,2022-11-28 03:55:47.885000+00:00,False,Successful,results.json_00006570-00006579.json,tealium.com,['tealium.com'],45781,"(40000, 50000]",False,successful,successful,tealium.com,other,tealium.com,ch,other
6492,internet.org,facebook.com,2022-11-28 03:42:56.318000+00:00,2022-11-28 03:56:04.782000+00:00,False,Successful,results.json_00006570-00006579.json,Facebook,['Facebook'],45740,"(40000, 50000]",False,successful,successful,Facebook,other,other,org,org
6503,n24.de,welt.de,2022-11-28 03:55:55.485000+00:00,2022-11-28 04:03:15.809000+00:00,False,Successful,results.json_00006580-00006589.json,sourcepointpopup,"['sourcepointpopup', 'sourcepoint_frame_2022']",45909,"(40000, 50000]",False,successful,successful,sourcepoint,sourcepoint,sourcepoint,de,de
6504,musicradio.com,global.com,2022-11-28 03:56:04.783000+00:00,2022-11-28 04:03:46.886000+00:00,False,Successful,results.json_00006580-00006589.json,sourcepointpopup,"['sourcepointpopup', 'sourcepoint_frame_2022']",45913,"(40000, 50000]",False,successful,successful,sourcepoint,sourcepoint,sourcepoint,com,com
6532,renfe.es,renfe.com,2022-11-28 04:13:58.561000+00:00,2022-11-28 04:21:20.382000+00:00,False,Successful,results.json_00006610-00006619.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",46132,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,es,es
6538,select-themes.com,qodeinteractive.com,2022-11-28 04:16:00.506000+00:00,2022-11-28 04:24:03.797000+00:00,False,Successful,results.json_00006620-00006629.json,cookiebar,['cookiebar'],46162,"(40000, 50000]",False,successful,successful,cookiebar,cookiebar,cookiebar,com,com
6568,edge-themes.com,qodeinteractive.com,2022-11-28 04:37:14.284000+00:00,2022-11-28 04:45:20.973000+00:00,False,Successful,results.json_00006650-00006659.json,cookiebar,['cookiebar'],46427,"(40000, 50000]",False,successful,successful,cookiebar,cookiebar,cookiebar,com,com
6590,linkfire-partners.com,linkfire.com,2022-11-28 04:54:45.790000+00:00,2022-11-28 05:03:44.293000+00:00,False,Successful,results.json_00006670-00006679.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",46642,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6599,lupus-ddns.de,lupus-electronics.de,2022-11-28 04:56:56.881000+00:00,2022-11-28 05:13:01.720000+00:00,False,Successful,results.json_00006680-00006689.json,consentmanager.net,['consentmanager.net'],46691,"(40000, 50000]",False,successful,successful,consentmanager.net,other,consentmanager.net,de,de
6622,marthastewartweddings.com,marthastewart.com,2022-11-28 05:25:24.579000+00:00,2022-11-28 05:35:51.945000+00:00,False,Successful,results.json_00006700-00006709.json,onetrust_banner,['onetrust_banner'],46973,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6626,sz-online.de,saechsische.de,2022-11-28 05:50:28.908000+00:00,2022-11-28 05:56:14.994000+00:00,False,Successful,results.json_00006710-00006719.json,didomi.io,['didomi.io'],47087,"(40000, 50000]",False,successful,successful,didomi.io,didomi.io,didomi.io,de,de
6643,uktv.co.uk,uktvplay.co.uk,2022-11-28 06:04:02.121000+00:00,2022-11-28 06:10:30.097000+00:00,False,Successful,results.json_00006720-00006729.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",47206,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,uk,uk
6674,sqspcdn.com,squarespace.com,2022-11-28 06:41:55.525000+00:00,2022-11-28 06:50:56.084000+00:00,False,Successful,results.json_00006750-00006759.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",47364,"(40000, 50000]",False,successful,successful,trustarc,other,trustarc,com,com
6681,papertrailapp.com,papertrail.com,2022-11-28 06:56:36.635000+00:00,2022-11-28 07:04:33.075000+00:00,False,Successful,results.json_00006760-00006769.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",47518,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6689,indeed.co.uk,indeed.com,2022-11-28 06:54:20.046000+00:00,2022-11-28 07:07:09.377000+00:00,False,Successful,results.json_00006770-00006779.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",47499,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,uk,uk
6708,wow-europe.com,worldofwarcraft.com,2022-11-28 07:10:48.659000+00:00,2022-11-28 07:19:18.588000+00:00,False,Successful,results.json_00006790-00006799.json,optanon,['optanon'],47765,"(40000, 50000]",False,successful,successful,optanon,other,other,com,com
6710,fin24.com,news24.com,2022-11-28 07:09:36.413000+00:00,2022-11-28 07:19:38.599000+00:00,False,Successful,results.json_00006790-00006799.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",47732,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6713,postcodeanywhere.co.uk,loqate.com,2022-11-28 07:13:54.917000+00:00,2022-11-28 07:21:43.268000+00:00,False,Successful,results.json_00006790-00006799.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",47771,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,uk,uk
6729,mscmart.com,yahoo.com,2022-11-28 07:26:24.406000+00:00,2022-11-28 07:34:19.659000+00:00,False,Successful,results.json_00006810-00006819.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",47952,"(40000, 50000]",False,successful,successful,yahoo,other,other,com,com
6730,isohunt.com,motionpictures.org,2022-11-28 07:21:20.008000+00:00,2022-11-28 07:34:21.334000+00:00,False,Successful,results.json_00006810-00006819.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",47901,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6746,rancher.io,rancher.com,2022-11-28 07:40:27.116000+00:00,2022-11-28 07:48:47.037000+00:00,False,Successful,results.json_00006830-00006839.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",48127,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,io,io
6797,barbie.com,mattel.com,2022-11-28 08:24:35.078000+00:00,2022-11-28 08:33:12.832000+00:00,False,Successful,results.json_00006880-00006889.json,trustarcframe,"['trustarcframe', 'trustarc_popup_hider']",48437,"(40000, 50000]",False,successful,successful,trustarc,other,trustarc,com,com
6828,tubantia.nl,dpgmedia.nl,2022-11-28 09:17:03.868000+00:00,2022-11-28 09:21:07.003000+00:00,False,Successful,results.json_00006910-00006919.json,sourcepointpopup,"['sourcepointpopup', 'sourcepoint_frame_2022']",48717,"(40000, 50000]",False,successful,successful,sourcepoint,sourcepoint,sourcepoint,nl,nl
6854,huawei.asia,huawei.com,2022-11-28 09:33:52.942000+00:00,2022-11-28 09:39:07.554000+00:00,False,Successful,results.json_00006930-00006939.json,tealium.com,['tealium.com'],48911,"(40000, 50000]",False,successful,successful,tealium.com,other,tealium.com,asia,other
6864,webicom.si,webicom.net,2022-11-28 09:42:27.624000+00:00,2022-11-28 09:49:30.246000+00:00,False,Successful,results.json_00006940-00006949.json,cookiebar,['cookiebar'],49001,"(40000, 50000]",True,successful,successful,cookiebar,cookiebar,cookiebar,si,other
6869,pivotal.io,vmware.com,2022-11-28 09:45:48.116000+00:00,2022-11-28 09:53:33.677000+00:00,False,Successful,results.json_00006950-00006959.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",49061,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,io,io
6894,bhldn.com,anthropologie.com,2022-11-28 10:01:11.699000+00:00,2022-11-28 10:09:55.786000+00:00,False,Successful,results.json_00006970-00006979.json,tealium.com,"['tealium.com', 'onetrust_pcpanel']",49215,"(40000, 50000]",False,successful,successful,tealium.com,other,tealium.com,com,com
6906,protrade.com,yahoo.com,2022-11-28 10:11:05.823000+00:00,2022-11-28 10:19:33.491000+00:00,False,Successful,results.json_00006990-00006999.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",49420,"(40000, 50000]",False,successful,successful,yahoo,other,other,com,com
6917,optimalpayments.com,paysafe.com,2022-11-28 10:22:03.053000+00:00,2022-11-28 10:28:23.492000+00:00,False,Successful,results.json_00007000-00007009.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",49614,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6920,adobe.de,adobe.com,2022-11-28 10:22:41.757000+00:00,2022-11-28 10:31:26.088000+00:00,False,Successful,results.json_00007000-00007009.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",49616,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,de,de
6923,neuf.fr,sfr.fr,2022-11-28 10:25:23.287000+00:00,2022-11-28 10:33:45.321000+00:00,False,Successful,results.json_00007000-00007009.json,SFR,['SFR'],49622,"(40000, 50000]",False,successful,successful,SFR,other,other,fr,fr
6933,demandmedia.com,leafgroup.com,2022-11-28 10:27:55.356000+00:00,2022-11-28 10:40:34.358000+00:00,False,Successful,results.json_00007010-00007019.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",49679,"(40000, 50000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
6993,yahoo.de,yahoo.com,2022-11-28 11:38:54.461000+00:00,2022-11-28 11:44:15.796000+00:00,False,Successful,results.json_00007070-00007079.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",50330,"(50000, 60000]",False,successful,successful,yahoo,other,other,de,de
7017,dl.ac.uk,ukri.org,2022-11-28 12:00:01.036000+00:00,2022-11-28 12:08:13.017000+00:00,False,Successful,results.json_00007100-00007109.json,cookiecontrolcivic,['cookiecontrolcivic'],50527,"(50000, 60000]",False,successful,successful,cookiecontrolcivic,other,cookiecontrolcivic,uk,uk
7031,cincodias.com,elpais.com,2022-11-28 12:09:18.882000+00:00,2022-11-28 12:19:13.847000+00:00,False,Successful,results.json_00007110-00007119.json,didomi.io,['didomi.io'],50576,"(50000, 60000]",False,successful,successful,didomi.io,didomi.io,didomi.io,com,com
7085,ruxit.com,dynatrace.com,2022-11-28 12:50:32.865000+00:00,2022-11-28 12:58:52.734000+00:00,False,Successful,results.json_00007170-00007179.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",51103,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7087,dvice.com,syfy.com,2022-11-28 12:51:41.470000+00:00,2022-11-28 13:00:41.261000+00:00,False,Successful,results.json_00007170-00007179.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",51131,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7099,parsecgaming.com,parsec.app,2022-11-28 13:06:15.060000+00:00,2022-11-28 13:13:22.201000+00:00,False,Successful,results.json_00007180-00007189.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",51276,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7114,opower.com,oracle.com,2022-11-28 13:19:38.017000+00:00,2022-11-28 13:27:35.865000+00:00,False,Successful,results.json_00007190-00007199.json,trustarc_popup_hider,"['trustarc_popup_hider', 'trustarcframe']",51404,"(50000, 60000]",False,successful,successful,trustarc,other,trustarc,com,com
7117,hitfix.com,uproxx.com,2022-11-28 13:21:45.154000+00:00,2022-11-28 13:29:20.523000+00:00,False,Successful,results.json_00007200-00007209.json,quantcast2b,['quantcast2b'],51432,"(50000, 60000]",False,successful,successful,quantcast,quantcast,quantcast,com,com
7128,notadsworld.com,yahoo.com,2022-11-28 13:30:58.141000+00:00,2022-11-28 13:39:05.081000+00:00,False,Successful,results.json_00007210-00007219.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",51539,"(50000, 60000]",False,successful,successful,yahoo,other,other,com,com
7153,georiot.com,geniuslink.com,2022-11-28 13:52:49.585000+00:00,2022-11-28 14:01:02.638000+00:00,False,Successful,results.json_00007230-00007239.json,cookiecontrolcivic,['cookiecontrolcivic'],51694,"(50000, 60000]",False,successful,successful,cookiecontrolcivic,other,cookiecontrolcivic,com,com
7160,tmobile.com,t-mobile.com,2022-11-28 13:56:13.034000+00:00,2022-11-28 14:08:36.720000+00:00,False,Successful,results.json_00007240-00007249.json,onetrust_pcpanel,['onetrust_pcpanel'],51728,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7164,robhost.de,dogado.pro,2022-11-28 14:01:22.005000+00:00,2022-11-28 14:12:34.083000+00:00,False,Successful,results.json_00007240-00007249.json,consentmanager.net,['consentmanager.net'],51838,"(50000, 60000]",False,successful,successful,consentmanager.net,other,consentmanager.net,de,de
7165,curve.app,curve.com,2022-11-28 14:01:30.118000+00:00,2022-11-28 14:12:34.201000+00:00,False,Successful,results.json_00007250-00007259.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",51841,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,app,other
7174,sofort.de,sofort.com,2022-11-28 14:09:09.165000+00:00,2022-11-28 14:22:48.349000+00:00,False,Successful,results.json_00007250-00007259.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",51911,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,de,de
7178,maxim-ic.com,maximintegrated.com,2022-11-28 14:12:34.203000+00:00,2022-11-28 14:24:17.280000+00:00,False,Successful,results.json_00007260-00007269.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",51921,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7188,deliveroo.net,deliveroo.co.uk,2022-11-28 14:23:19.707000+00:00,2022-11-28 14:35:39.174000+00:00,False,Successful,results.json_00007270-00007279.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",52069,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,net,net
7191,makers.com,yahoo.com,2022-11-28 14:24:48.144000+00:00,2022-11-28 14:38:42.234000+00:00,False,Successful,results.json_00007270-00007279.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",52105,"(50000, 60000]",False,successful,successful,yahoo,other,other,com,com
7197,opinionlab.com,verint.com,2022-11-28 14:42:37.791000+00:00,2022-11-28 14:49:07.430000+00:00,False,Successful,results.json_00007280-00007289.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",52166,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7208,pplusstatic.com,paramount.com,2022-11-28 14:49:14.071000+00:00,2022-11-28 14:54:51.277000+00:00,False,Successful,results.json_00007290-00007299.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",52289,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7225,gototraining.com,goto.com,2022-11-28 14:56:57.485000+00:00,2022-11-28 15:03:14.249000+00:00,False,Successful,results.json_00007310-00007319.json,trustarcbar,"['trustarcbar', 'trustarc_popup_hider', 'trustarcframe']",52413,"(50000, 60000]",False,successful,successful,trustarc,other,trustarc,com,com
7234,elated-themes.com,qodeinteractive.com,2022-11-28 15:02:02.607000+00:00,2022-11-28 15:09:10.960000+00:00,False,Successful,results.json_00007310-00007319.json,cookiebar,['cookiebar'],52494,"(50000, 60000]",False,successful,successful,cookiebar,cookiebar,cookiebar,com,com
7235,doctolib.com,doctolib.fr,2022-11-28 15:03:44.420000+00:00,2022-11-28 15:11:29.295000+00:00,False,Successful,results.json_00007320-00007329.json,didomi.io,['didomi.io'],52551,"(50000, 60000]",False,successful,successful,didomi.io,didomi.io,didomi.io,com,com
7239,cnet.co.uk,cnet.com,2022-11-28 15:05:02.459000+00:00,2022-11-28 15:12:43.107000+00:00,False,Successful,results.json_00007320-00007329.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",52569,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,uk,uk
7247,leadfamly.com,playable.com,2022-11-28 15:12:38.390000+00:00,2022-11-28 15:18:58.322000+00:00,False,Successful,results.json_00007330-00007339.json,cookieinformation,['cookieinformation'],52621,"(50000, 60000]",False,successful,successful,cookieinformation,other,other,com,com
7248,solarwindsmsp.com,n-able.com,2022-11-28 15:12:43.113000+00:00,2022-11-28 15:19:07.415000+00:00,False,Successful,results.json_00007330-00007339.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",52622,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7250,webhit-now.com,yahoo.com,2022-11-28 15:14:53.175000+00:00,2022-11-28 15:19:48.154000+00:00,False,Successful,results.json_00007330-00007339.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",52628,"(50000, 60000]",False,successful,successful,yahoo,other,other,com,com
7258,deliveroo.com,deliveroo.co.uk,2022-11-28 15:19:07.417000+00:00,2022-11-28 15:26:10.129000+00:00,False,Successful,results.json_00007340-00007349.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",52690,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7265,deredactie.be,vrt.be,2022-11-28 15:25:05.551000+00:00,2022-11-28 15:31:28.326000+00:00,False,Successful,results.json_00007350-00007359.json,sourcepointpopup,"['sourcepointpopup', 'sourcepoint_frame_2022']",52782,"(50000, 60000]",False,successful,successful,sourcepoint,sourcepoint,sourcepoint,be,be
7274,bdfgroup.net,beiersdorf.com,2022-11-28 15:32:33.484000+00:00,2022-11-28 15:40:09.479000+00:00,False,Successful,results.json_00007350-00007359.json,consentmanager.net,['consentmanager.net'],52839,"(50000, 60000]",False,successful,successful,consentmanager.net,other,consentmanager.net,net,net
7276,tpondemand.com,apptio.com,2022-11-28 15:34:18.136000+00:00,2022-11-28 15:41:21.309000+00:00,False,Successful,results.json_00007360-00007369.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",52892,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7281,indeedjobs.com,indeed.com,2022-11-28 15:42:29.975000+00:00,2022-11-28 15:49:04.677000+00:00,False,Successful,results.json_00007360-00007369.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",52978,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7289,aol.fr,yahoo.com,2022-11-28 15:49:04.678000+00:00,2022-11-28 15:55:27.188000+00:00,False,Successful,results.json_00007370-00007379.json,yahoo_popup,"['yahoo_popup', 'yahoo_consent']",53009,"(50000, 60000]",False,successful,successful,yahoo,other,other,fr,fr
7296,shire.com,takeda.com,2022-11-28 15:55:27.189000+00:00,2022-11-28 16:03:08.692000+00:00,False,Successful,results.json_00007380-00007389.json,onetrust_banner,"['onetrust_banner', 'onetrust_pcpanel']",53076,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
7306,dogado.net,dogado.de,2022-11-28 16:02:55.924000+00:00,2022-11-28 16:10:08.684000+00:00,False,Successful,results.json_00007390-00007399.json,consentmanager.net,['consentmanager.net'],53135,"(50000, 60000]",False,successful,successful,consentmanager.net,other,consentmanager.net,net,net
7313,gizmodo.co.uk,gizmodo.com,2022-11-28 16:03:33.894000+00:00,2022-11-28 16:16:50.091000+00:00,False,Successful,results.json_00007390-00007399.json,sourcepointpopup,"['sourcepointpopup', 'sourcepoint_frame_2022']",53151,"(50000, 60000]",False,successful,successful,sourcepoint,sourcepoint,sourcepoint,uk,uk
7320,ikp.pl,t-mobile.pl,2022-11-28 16:24:55.102000+00:00,2022-11-28 16:34:47.299000+00:00,False,Successful,results.json_00007400-00007409.json,didomi.io,['didomi.io'],53261,"(50000, 60000]",False,successful,successful,didomi.io,didomi.io,didomi.io,pl,other
7333,incapsula.com,imperva.com,2022-11-28 16:30:36.262000+00:00,2022-11-28 16:48:10.913000+00:00,False,Successful,results.json_00007410-00007419.json,onetrust_banner,"['onetrust_banner', 'onetrust_pctab']",53286,"(50000, 60000]",False,successful,successful,onetrust,onetrust,onetrust,com,com
